# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SEGMENTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
#
28154	Tibetan_Lhasa	ABOVE	jɛ	over / above	OLD	j ɛ	198	198	j ɛ	6 7	AX	JE	4	4.J.C 4.E.V	2.0 1.5	0
28155	Tibetan_Lhasa	ABOVE	oŋla	over / above	OLD	o ŋ l a	1035	1035	o ŋ l a	7 4 5 7	XBCZ	UNLA	4	4.U.V 4.N.C 4.L.C 4.A.V	1.5 1.75 1.5 0.8	0
29810	Tibetan_Batang	ABOVE	jaʔ	over / above	OLD	j a ʔ	198	198	j a ʔ	6 7 1	AXN	JAH	3	3.J.C 3.A.V 3.H.c	2.0 1.5 0.8	0
31766	rGyalrong_Maerkang	ABOVE	wupri	over / above	OLD	w u p r i	2290	2290	w u p r i	6 7 1 5 7	AXBCZ	WYPRI	1	1.W.C 1.Y.V 1.P.C 1.R.C 1.I.V	2.0 1.5 1.75 1.5 0.8	0
32401	Tibetan_Xiahe	ABOVE	janar	over / above	OLD	j a n a r	198	198	j a n a r	6 7 4 7 5	AXBYN	JANAR	5	5.J.C 5.A.V 5.N.C 5.A.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0
#
27455	Tibetan_Xiahe	ALL	hano	all / everything	OLD	h a n o	5662	5662	h a n o	3 7 4 7	AXBZ	HANU	5	5.H.C 5.A.V 5.N.C 5.U.V	2.0 1.5 1.75 0.8	0
27994	rGyalrong_Maerkang	ALL	kəᴇt	all / everything	OLD	k ə ᴇ t	3969	3969	k əᴇ t	1 7 1	AXN	KET	1	1.K.C 1.E.V 1.T.c	2.0 1.5 0.8	0
28332	Tibetan_Lhasa	ALL	aŋma	all / everything	OLD	a ŋ m a	5663	5663	a ŋ m a	7 4 4 7	XMBZ	ANMA	4	4.A.V 4.N.c 4.M.C 4.A.V	1.5 1.1 1.75 0.8	0
29950	Tibetan_Batang	ALL	jɛʔ	all / everything	OLD	j ɛ ʔ	5664	5664	j ɛ ʔ	6 7 1	AXN	JEH	3	3.J.C 3.E.V 3.H.c	2.0 1.5 0.8	0
31326	Tibetan_Lhasa	ALL	kaŋka	all / everything	OLD	k a ŋ k a	5665	5665	k a ŋ k a	1 7 4 1 7	AXMBZ	KANKA	4	4.K.C 4.A.V 4.N.c 4.K.C 4.A.V	2.0 1.5 1.1 1.75 0.8	0
34717	Tibetan_Alike	ALL	aŋmæ	all / everything	OLD	a ŋ m æ	5663	5663	a ŋ m æ	7 4 4 7	XMBZ	ANME	2	2.A.V 2.N.c 2.M.C 2.E.V	1.5 1.1 1.75 0.8	0
#
27907	Tibetan_Lhasa	ANT	ma	ant	OLD	m a	2954	2954	m a	4 7	AX	MA	4	4.M.C 4.A.V	2.0 1.5	0
24891	Tibetan_Xiahe	ANT	mbəaχma	ant	OLD	m b ə a χ m a	2954	2954	m b əa χ m a	4 1 7 3 4 7	ACYBCZ	MPEGMA	5	5.M.C 5.P.C 5.E.V 5.G.C 5.M.C 5.A.V	2.0 1.5 1.3 1.75 1.5 0.8	0
27592	rGyalrong_Maerkang	ANT	orok	ant	OLD	o r o k	2954	2954	o r o k	7 5 7 1	XBYN	URUK	1	1.U.V 1.R.C 1.U.V 1.K.c	1.5 1.75 1.3 0.8	0
27825	Tibetan_Alike	ANT	okmæ	ant	OLD	o k m æ	2954	2954	o k m æ	7 1 4 7	XBCZ	UKME	2	2.U.V 2.K.C 2.M.C 2.E.V	1.5 1.75 1.5 0.8	0
29534	Tibetan_Batang	ANT	aoʔuma	ant	OLD	a o ʔ u m a	2954	2954	ao ʔ u m a	7 1 7 4 7	XBYBZ	AHYMA	3	3.A.V 3.H.C 3.Y.V 3.M.C 3.A.V	1.5 1.75 1.3 1.75 0.8	0
#
27392	rGyalrong_Maerkang	ARMPIT	tɑpjɑkᴇ	armpit	OLD	t ɑ p j ɑ k ᴇ	3172	3172	t ɑ p j ɑ k ᴇ	1 7 1 6 7 1 7	AXBCYBZ	TAPJAKE	1	1.T.C 1.A.V 1.P.C 1.J.C 1.A.V 1.K.C 1.E.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0
27688	Tibetan_Lhasa	ARMPIT	uŋ	armpit	OLD	u ŋ	140	140	u ŋ	7 4	XN	YN	4	4.Y.V 4.N.c	1.5 0.8	0
31238	Tibetan_Batang	ARMPIT	ĩkũ	armpit	OLD	ĩ k ũ	140	140	ĩ k ũ	7 1 7	XBZ	IKY	3	3.I.V 3.K.C 3.Y.V	1.5 1.75 0.8	0
31965	Tibetan_Xiahe	ARMPIT	anjoχ	armpit	OLD	a n j o χ	140	140	a n j o χ	7 4 6 7 3	XBCYN	ANJUG	5	5.A.V 5.N.C 5.J.C 5.U.V 5.G.c	1.5 1.75 1.5 1.3 0.8	0
34103	Tibetan_Alike	ARMPIT	nan	armpit	OLD	n a n	140	140	n a n	4 7 4	AXN	NAN	2	2.N.C 2.A.V 2.N.c	2.0 1.5 0.8	0
#
28052	rGyalrong_Maerkang	BAD	mɑkəsnɑ	bad	OLD	m ɑ k ə s n ɑ	999	999	m ɑ k ə s n ɑ	4 7 1 7 3 4 7	AXBYBCZ	MAKESNA	1	1.M.C 1.A.V 1.K.C 1.E.V 1.S.C 1.N.C 1.A.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	0
28407	Tibetan_Lhasa	BAD	ŋpo	bad	OLD	ŋ p o	245	245	ŋ p o	4 1 7	ACZ	NPU	4	4.N.C 4.P.C 4.U.V	2.0 1.5 0.8	0
28408	Tibetan_Lhasa	BAD	tuko	bad	OLD	t u k o	579	579	t u k o	1 7 1 7	AXBZ	TYKU	4	4.T.C 4.Y.V 4.K.C 4.U.V	2.0 1.5 1.75 0.8	0
30028	Tibetan_Batang	BAD	dupu	bad	OLD	d u p u	579	579	d u p u	1 7 1 7	AXBZ	TYPY	3	3.T.C 3.Y.V 3.P.C 3.Y.V	2.0 1.5 1.75 0.8	0
30029	Tibetan_Batang	BAD	ɕɑudɛʔ	bad	OLD	ɕ ɑ u d ɛ ʔ	2316	2316	ɕ ɑu d ɛ ʔ	3 7 1 7 1	AXBYN	SATEH	3	3.S.C 3.A.V 3.T.C 3.E.V 3.H.c	2.0 1.5 1.75 1.3 0.8	0
32606	Tibetan_Xiahe	BAD	aχama	bad	OLD	a χ a m a	2482	2482	a χ a m a	7 3 7 4 7	XBYBZ	AGAMA	5	5.A.V 5.G.C 5.A.V 5.M.C 5.A.V	1.5 1.75 1.3 1.75 0.8	0
32607	Tibetan_Xiahe	BAD	ŋan	bad	OLD	ŋ a n	245	245	ŋ a n	4 7 4	AXN	NAN	5	5.N.C 5.A.V 5.N.c	2.0 1.5 0.8	0
35418	Tibetan_Alike	BAD	ŋanbæ	bad	OLD	ŋ a n b æ	245	245	ŋ a n b æ	4 7 4 1 7	AXMBZ	NANPE	2	2.N.C 2.A.V 2.N.c 2.P.C 2.E.V	2.0 1.5 1.1 1.75 0.8	0
#
27613	rGyalrong_Maerkang	BAMBOO	ɟjo	bamboo	OLD	ɟ j o	821	821	ɟ j o	1 6 7	ACX	CJU	1	1.C.C 1.J.C 1.U.V	2.0 1.5 1.5	0
27926	Tibetan_Lhasa	BAMBOO	ȵuŋmə	bamboo	OLD	ȵ u ŋ m ə	952	952	ȵ u ŋ m ə	4 7 4 4 7	AXMBZ	NYNME	4	4.N.C 4.Y.V 4.N.c 4.M.C 4.E.V	2.0 1.5 1.1 1.75 0.8	0
29552	Tibetan_Batang	BAMBOO	ȵuma	bamboo	OLD	ȵ u m a	952	952	ȵ u m a	4 7 4 7	AXBZ	NYMA	3	3.N.C 3.Y.V 3.M.C 3.A.V	2.0 1.5 1.75 0.8	0
31090	Tibetan_Alike	BAMBOO	rukmæ	bamboo	OLD	r u k m æ	952	952	r u k m æ	5 7 1 4 7	AXBCZ	RYKME	2	2.R.C 2.Y.V 2.K.C 2.M.C 2.E.V	2.0 1.5 1.75 1.5 0.8	0
32169	Tibetan_Xiahe	BAMBOO	hȵɯxma	bamboo	OLD	h ȵ ɯ x m a	952	952	h ȵ ɯ x m a	3 4 7 3 4 7	ACXBCZ	HNIGMA	5	5.H.C 5.N.C 5.I.V 5.G.C 5.M.C 5.A.V	2.0 1.5 1.5 1.75 1.5 0.8	0
#
27936	Tibetan_Lhasa	BARLEY	s	barley	OLD	s	6025	6025	s	3	A	S	4	4.S.C	2.0	0
27937	Tibetan_Lhasa	BARLEY	sowa	barley	OLD	s o w a	6025	6025	s o w a	3 7 6 7	AXBZ	SUWA	4	4.S.C 4.U.V 4.W.C 4.A.V	2.0 1.5 1.75 0.8	0
29569	Tibetan_Batang	BARLEY	ɑ	barley	OLD	ɑ	6025	6025	ɑ	7	X	A	3	3.A.V	1.5	0
34933	rGyalrong_Maerkang	BARLEY	wərjk	barley	OLD	w ə r j k	4037	4037	w ə r j k	6 7 5 6 1	AXBYN	WERJK	1	1.W.C 1.E.V 1.R.C 1.J.V 1.K.c	2.0 1.5 1.75 1.3 0.8	0
#
28072	rGyalrong_Maerkang	BE ALIVE	kəsəso	living (adj.)	OLD	k ə s ə s o	280	280	k ə s ə s o	1 7 3 7 3 7	AXBYBZ	KESESU	1	1.K.C 1.E.V 1.S.C 1.E.V 1.S.C 1.U.V	2.0 1.5 1.75 1.3 1.75 0.8	0
28437	Tibetan_Lhasa	BE ALIVE	spa	living (adj.)	OLD	s p a	280	280	s p a	3 1 7	ACZ	SPA	4	4.S.C 4.P.C 4.A.V	2.0 1.5 0.8	1
31548	Tibetan_Xiahe	BE ALIVE	sombo	living (adj.)	OLD	s o m b o	280	280	s o m b o	3 7 4 1 7	AXMBZ	SUMPU	5	5.S.C 5.U.V 5.M.c 5.P.C 5.U.V	2.0 1.5 1.1 1.75 0.8	0
33913	Tibetan_Batang	BE ALIVE	smbu	living (adj.)	OLD	s m b u	280	280	s m b u	3 4 1 7	AXBZ	SMPY	3	3.S.C 3.M.V 3.P.C 3.Y.V	2.0 1.5 1.75 0.8	0
34803	Tibetan_Alike	BE ALIVE	ɣsombo	living (adj.)	OLD	ɣ s o m b o	280	280	ɣ s o m b o	3 3 7 4 1 7	ACYMBZ	GSUMPU	2	2.G.C 2.S.C 2.U.V 2.M.c 2.P.C 2.U.V	2.0 1.5 1.3 1.1 1.75 0.8	0
#
29999	Tibetan_Batang	BE LATE	ɪ	late	OLD	ɪ	2277	2277	ɪ	7	X	I	3	3.I.V	1.5	1
32588	Tibetan_Xiahe	BE LATE	ngor	late	OLD	n g o r	136	136	n g o r	4 1 7 5	ACYN	NKUR	5	5.N.C 5.K.C 5.U.V 5.R.c	2.0 1.5 1.3 0.8	0
32893	rGyalrong_Maerkang	BE LATE	kəməŋku	late	OLD	k ə m ə ŋ k u	2538	2538	k ə m ə ŋ k u	1 7 4 7 4 1 7	AXBYMBZ	KEMENKY	1	1.K.C 1.E.V 1.M.C 1.E.V 1.N.c 1.K.C 1.Y.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	0
34760	Tibetan_Alike	BE LATE	ngor	late	OLD	n g o r	136	136	n g o r	4 1 7 5	ACYN	NKUR	2	2.N.C 2.K.C 2.U.V 2.R.c	2.0 1.5 1.3 0.8	0
34998	Tibetan_Lhasa	BE LATE	ipu	late	OLD	i p u	2277	2277	i p u	7 1 7	XBZ	IPY	4	4.I.V 4.P.C 4.Y.V	1.5 1.75 0.8	1
#
28010	rGyalrong_Maerkang	BE MANY	kənɑ	many / much	OLD	k ə n ɑ	979	979	k ə n ɑ	1 7 4 7	AXBZ	KENA	1	1.K.C 1.E.V 1.N.C 1.A.V	2.0 1.5 1.75 0.8	0
28353	Tibetan_Lhasa	BE MANY	maŋko	many / much	OLD	m a ŋ k o	1663	1663	m a ŋ k o	4 7 4 1 7	AXMBZ	MANKU	4	4.M.C 4.A.V 4.N.c 4.K.C 4.U.V	2.0 1.5 1.1 1.75 0.8	0
29971	Tibetan_Batang	BE MANY	mõmbu	many / much	OLD	m õ m b u	1663	1663	m õ m b u	4 7 4 1 7	AXMBZ	MUMPY	3	3.M.C 3.U.V 3.M.c 3.P.C 3.Y.V	2.0 1.5 1.1 1.75 0.8	0
32569	Tibetan_Xiahe	BE MANY	maŋ	many / much	OLD	m a ŋ	1663	1663	m a ŋ	4 7 4	AXN	MAN	5	5.M.C 5.A.V 5.N.c	2.0 1.5 0.8	0
34738	Tibetan_Alike	BE MANY	maŋŋæ	many / much	OLD	m a ŋ ŋ æ	1663	1663	m a ŋŋ æ	4 7 4 7	AXBZ	MANE	2	2.M.C 2.A.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	0
#
26156	Tibetan_Alike	BELLY	ho	belly	OLD	h o	1298	1298	h o	3 7	AX	HU	2	2.H.C 2.U.V	2.0 1.5	0
27691	Tibetan_Lhasa	BELLY	oko	belly	OLD	o k o	863	863	o k o	7 1 7	XBZ	UKU	4	4.U.V 4.K.C 4.U.V	1.5 1.75 0.8	0
29808	Tibetan_Batang	BELLY	upa	belly	OLD	u p a	863	863	u p a	7 1 7	XBZ	YPA	3	3.Y.V 3.P.C 3.A.V	1.5 1.75 0.8	0
31967	Tibetan_Xiahe	BELLY	ho	belly	OLD	h o	1298	1298	h o	3 7	AX	HU	5	5.H.C 5.U.V	2.0 1.5	0
35645	rGyalrong_Maerkang	BELLY	təpok	belly	OLD	t ə p o k	10241	10241	t ə p o k	1 7 1 7 1	AXBYN	TEPUK	1	1.T.C 1.E.V 1.P.C 1.U.V 1.K.c	2.0 1.5 1.75 1.3 0.8	0
#
27866	rGyalrong_Maerkang	BELOW OR UNDER	wuspoi	below / under	OLD	w u s p o i	930	930	w u s p oi	6 7 3 1 7	AXMBZ	WYSPU	1	1.W.C 1.Y.V 1.S.c 1.P.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0
28156	Tibetan_Lhasa	BELOW OR UNDER	mɛ	below / under	OLD	m ɛ	1036	1036	m ɛ	4 7	AX	ME	4	4.M.C 4.E.V	2.0 1.5	0
28157	Tibetan_Lhasa	BELOW OR UNDER	ɕamla	below / under	OLD	ɕ a m l a	380	380	ɕ a m l a	3 7 4 5 7	AXBCZ	SAMLA	4	4.S.C 4.A.V 4.M.C 4.L.C 4.A.V	2.0 1.5 1.75 1.5 0.8	0
29811	Tibetan_Batang	BELOW OR UNDER	mãʔ	below / under	OLD	m ã ʔ	1036	1036	m ã ʔ	4 7 1	AXN	MAH	3	3.M.C 3.A.V 3.H.c	2.0 1.5 0.8	0
34464	Tibetan_Xiahe	BELOW OR UNDER	manar	below / under	OLD	m a n a r	1036	1036	m a n a r	4 7 4 7 5	AXBYN	MANAR	5	5.M.C 5.A.V 5.N.C 5.A.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0
#
27996	rGyalrong_Maerkang	BIG	kəktᴇ	big / large	OLD	k ə k t ᴇ	29701	29701	k ə k t ᴇ	1 7 1 1 7	AXMBZ	KEKTE	1	1.K.C 1.E.V 1.K.c 1.T.C 1.E.V	2.0 1.5 1.1 1.75 0.8	0
28334	Tibetan_Lhasa	BIG	ẽpo	big / large	OLD	ẽ p o	412	412	ẽ p o	7 1 7	XBZ	EPU	4	4.E.V 4.P.C 4.U.V	1.5 1.75 0.8	0
29952	Tibetan_Batang	BIG	ɪ	big / large	OLD	ɪ	412	412	ɪ	7	X	I	3	3.I.V	1.5	0
29953	Tibetan_Batang	BIG	ɑu	big / large	OLD	ɑ u	412	412	ɑu	7	X	A	3	3.A.V	1.5	0
33860	Tibetan_Xiahe	BIG	ewo	big / large	OLD	e w o	412	412	e w o	7 6 7	XBZ	EWU	5	5.E.V 5.W.C 5.U.V	1.5 1.75 0.8	0
34718	Tibetan_Alike	BIG	e	big / large	OLD	e	412	412	e	7	X	E	2	2.E.V	1.5	0
#
27559	rGyalrong_Maerkang	BIRD	pɑɑ	bird	OLD	p ɑ ɑ	462	462	p ɑɑ	1 7	AX	PA	1	1.P.C 1.A.V	2.0 1.5	0
27875	Tibetan_Lhasa	BIRD	a	bird	OLD	a	264	264	a	7	X	A	4	4.A.V	1.5	0
30818	Tibetan_Batang	BIRD	ɕy	bird	OLD	ɕ y	264	264	ɕ y	3 7	AX	SY	3	3.S.C 3.Y.V	2.0 1.5	0
32121	Tibetan_Xiahe	BIRD	ɕa	bird	OLD	ɕ a	264	264	ɕ a	3 7	AX	SA	5	5.S.C 5.A.V	2.0 1.5	0
35648	Tibetan_Alike	BIRD	wɕæ	bird	OLD	w ɕ æ	264	264	w ɕ æ	6 3 7	ACZ	WSE	2	2.W.C 2.S.C 2.E.V	2.0 1.5 0.8	0
#
28531	rGyalrong_Maerkang	BITE	ɑmikklt	bite	OLD	ɑ m i k k l t	2401	2401	ɑ m i kk l t	7 4 7 1 5 1	XBYBYN	AMIKLT	1	1.A.V 1.M.C 1.I.V 1.K.C 1.L.V 1.T.c	1.5 1.75 1.3 1.75 1.3 0.8	0
28947	Tibetan_Lhasa	BITE	soca	bite	OLD	s o c a	2552	2552	s o c a	3 7 1 7	AXBZ	SUCA	4	4.S.C 4.U.V 4.C.C 4.A.V	2.0 1.5 1.75 0.8	0
30852	Tibetan_Batang	BITE	ɛʔ	bite	OLD	ɛ ʔ	1892	1892	ɛ ʔ	7 1	XN	EH	3	3.E.V 3.H.c	1.5 0.8	1
32963	Tibetan_Xiahe	BITE	oep	bite	OLD	o e p	2552	2552	oe p	7 1	XN	UP	5	5.U.V 5.P.c	1.5 0.8	0
35117	Tibetan_Alike	BITE	wawdiwɟjap	bite	OLD	w a w d i w ɟ j a p	2994	2994	w a w d i w ɟ j a p	6 7 6 1 7 6 1 6 7 1	AXMBYMBCYN	WAWTIWCJAP	2	2.W.C 2.A.V 2.W.c 2.T.C 2.I.V 2.W.c 2.C.C 2.J.C 2.A.V 2.P.c	2.0 1.5 1.1 1.75 1.3 1.1 1.75 1.5 1.3 0.8	0
#
28021	rGyalrong_Maerkang	BLACK	kənk	black	OLD	k ə n k	511	511	k ə n k	1 7 4 1	AXLN	KENK	1	1.K.C 1.E.V 1.N.c 1.K.c	2.0 1.5 1.1 0.8	0
28363	Tibetan_Lhasa	BLACK	nako	black	OLD	n a k o	511	511	n a k o	4 7 1 7	AXBZ	NAKU	4	4.N.C 4.A.V 4.K.C 4.U.V	2.0 1.5 1.75 0.8	0
30160	Tibetan_Batang	BLACK	nɑnɑʔ	black	OLD	n ɑ n ɑ ʔ	511	511	n ɑ n ɑ ʔ	4 7 4 7 1	AXBYN	NANAH	3	3.N.C 3.A.V 3.N.C 3.A.V 3.H.c	2.0 1.5 1.75 1.3 0.8	0
32578	Tibetan_Xiahe	BLACK	naχkwo	black	OLD	n a χ k w o	511	511	n a χ k w o	4 7 3 1 6 7	AXMBCZ	NAGKWU	5	5.N.C 5.A.V 5.G.c 5.K.C 5.W.C 5.U.V	2.0 1.5 1.1 1.75 1.5 0.8	0
34749	Tibetan_Alike	BLACK	nokko	black	OLD	n o k k o	511	511	n o kk o	4 7 1 7	AXBZ	NUKU	2	2.N.C 2.U.V 2.K.C 2.U.V	2.0 1.5 1.75 0.8	0
#
27720	Tibetan_Lhasa	BLOOD	a	blood	OLD	a	541	541	a	7	X	A	4	4.A.V	1.5	1
29317	rGyalrong_Maerkang	BLOOD	tɑʃi	blood	OLD	t ɑ ʃ i	29703	29703	t ɑ ʃ i	1 7 3 7	AXBZ	TASI	1	1.T.C 1.A.V 1.S.C 1.I.V	2.0 1.5 1.75 0.8	0
29333	Tibetan_Batang	BLOOD	ɑʔ	blood	OLD	ɑ ʔ	541	541	ɑ ʔ	7 1	XN	AH	3	3.A.V 3.H.c	1.5 0.8	0
31991	Tibetan_Xiahe	BLOOD	aχ	blood	OLD	a χ	541	541	a χ	7 3	XN	AG	5	5.A.V 5.G.c	1.5 0.8	0
34124	Tibetan_Alike	BLOOD	ak	blood	OLD	a k	541	541	a k	7 1	XN	AK	2	2.A.V 2.K.c	1.5 0.8	0
#
28522	rGyalrong_Maerkang	BLOW (OF WIND)	təʃnmkɑsnɑr	blow (one's nose)	OLD	t ə ʃ n m k ɑ s n ɑ r	3361	3361	t ə ʃ n m k ɑ s n ɑ r	1 7 3 4 4 1 7 3 4 7 5	AXBCMBYBCYN	TESNMKASNAR	1	1.T.C 1.E.V 1.S.C 1.N.C 1.M.c 1.K.C 1.A.V 1.S.C 1.N.C 1.A.V 1.R.c	2.0 1.5 1.75 1.5 1.1 1.75 1.3 1.75 1.5 1.3 0.8	0
28933	Tibetan_Lhasa	BLOW (OF WIND)	nəptui	blow (one's nose)	OLD	n ə p t u i	2729	2729	n ə p t ui	4 7 1 1 7	AXMBZ	NEPTY	4	4.N.C 4.E.V 4.P.c 4.T.C 4.Y.V	2.0 1.5 1.1 1.75 0.8	0
30497	Tibetan_Batang	BLOW (OF WIND)	e	blow (one's nose)	OLD	e	2921	2921	e	7	X	E	3	3.E.V	1.5	1
32955	Tibetan_Xiahe	BLOW (OF WIND)	mbə	blow (one's nose)	OLD	m b ə	2567	2567	m b ə	4 1 7	ACZ	MPE	5	5.M.C 5.P.C 5.E.V	2.0 1.5 0.8	0
#
26606	Tibetan_Alike	BONE	rəpæ	bone	OLD	r ə p æ	2	2	r ə p æ	5 7 1 7	AXBZ	REPE	2	2.R.C 2.E.V 2.P.C 2.E.V	2.0 1.5 1.75 0.8	0
27417	rGyalrong_Maerkang	BONE	ʃrə	bone	OLD	ʃ r ə	2	2	ʃ r ə	3 5 7	ACX	SRE	1	1.S.C 1.R.C 1.E.V	2.0 1.5 1.5	0
27724	Tibetan_Lhasa	BONE	ryko	bone	OLD	r y k o	2	2	r y k o	5 7 1 7	AXBZ	RYKU	4	4.R.C 4.Y.V 4.K.C 4.U.V	2.0 1.5 1.75 0.8	0
