SAGARTGLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
I [first person singular]	1209	I	2
above	1741	ABOVE	2
all	98	ALL	2
bad	1292	BAD	2
below, under		DOWN OR BELOW	2
big	1202	BIG	2
black	163	BLACK	2
cold (of temperature)	1287	COLD	2
correct (right)	1725	CORRECT (RIGHT)	2
dark	706	DARK	2
dirty	1230	DIRTY	2
dry	1398	DRY	2
early	672	EARLY	2
eight	1705	EIGHT	2
far	1406	FAR	2
firewood	10	FIREWOOD	2
five	493	FIVE	2
four	1500	FOUR	2
full	1429	FULL	2
good	1035	GOOD	2
green	1425	GREEN	2
hard	1884	HARD	2
he or she [third person singular]	2642	HE OR SHE	2
he or she [third person singular]	262	HE OR SHE OR IT	2
heavy	1210	HEAVY	2
here	136	HERE	2
high / tall	2790	HIGH OR TALL	2
horizontal	2376	HORIZONTAL	2
hot	1286	HOT	2
hundred	1634	HUNDRED	2
inside	1606	INSIDE	2
knife	1352	KNIFE	2
late	425	BE LATE	2
late	477	LATE	2
left	244	LEFT	2
light (of weight)	1052	LIGHT (WEIGHT)	2
long	1203	LONG	2
many	1198	MANY	2
middle	1093	MIDDLE	2
morning	1339	MORNING	2
narrow	1267	NARROW	2
near	1942	NEAR	2
new	1231	NEW	2
nine	1483	NINE	2
noon	12	MIDDAY	2
old (of person)	2112	OLD (AGED)	2
one	1493	ONE	2
outside	762	OUTSIDE	2
red	156	RED	2
right	1019	RIGHT	2
round	1395	ROUND	2
salty	1091	SALTY	2
seven	1704	SEVEN	2
sharp	1396	SHARP	2
short	1645	SHORT	2
shy	487	SHY	2
six	1703	SIX	2
small	1246	SMALL	2
smooth	1234	SMOOTH	2
soft	1856	SOFT	2
straight	1404	STRAIGHT	2
ten	1515	TEN	2
that	78	THAT	2
the ant	587	ANT	1
the armpit	1886	ARMPIT	1
the bamboo	1927	BAMBOO	1
the barley (tibetan or highland)	932	BARLEY	1
the belly	1251	BELLY	1
the bird	937	BIRD	1
the blood	946	BLOOD	1
the body hair (hair or fur)	189	HAIR (BODY)	1
the bone	1394	BONE	1
the branch	1531	BRANCH	1
the breast (female)	1402	BREAST	1
the child (young human)	1304	CHILD (YOUNG HUMAN)	1
the cloud	1489	CLOUD	1
the daughter	1357	DAUGHTER	1
the dew	1977	DEW	1
the dog	2009	DOG	1
the dream	2374	DREAM	1
the dust	2	DUST	1
the ear	1247	EAR	1
the earth (soil)	1228	EARTH (SOIL)	1
the earthworm	2350	EARTHWORM	1
the egg	744	EGG	1
the eye	1248	EYE	1
the father	1217	FATHER	1
the feather	1201	FEATHER	1
the fire	221	FIRE	1
the fish	227	FISH	1
the flea	232	FLEA	1
the flower	239	FLOWER	1
the fog	249	FOG	1
the foot	1301	FOOT	1
the forest	420	FOREST	1
the fox	1312	FOX	1
the frog	503	FROG	1
the front (front side)	2194	FRONT (PART)	1
the frost	2034	FROST	1
the fruit	1507	FRUIT	1
the goat	1502	GOAT	1
the grass	606	GRASS	1
the hail	609	HAIL	1
the hair (of the head)	2648	HAIR (HEAD)	1
the hand	1277	HAND	1
the head	1256	HEAD	1
the heart	1223	HEART	1
the hoof	152	HOOF	1
the horn (keratinized skin)	1393	HORN (ANATOMY)	1
the horse	615	HORSE	1
the house	1252	HOUSE	1
the husband	1200	HUSBAND	1
the ice	617	ICE	1
the knee	1371	KNEE	1
the lake	624	LAKE	1
the leaf	628	LEAF	1
the lip (the lips)	478	LIP	1
the liver	1224	LIVER	1
the louse	1392	LOUSE	1
the lung	688	LUNG	1
the man (male human)	1554	MAN	1
the meat	634	MEAT	1
the moon	1313	MOON	1
the mosquito	1509	MOSQUITO	1
