"num","GLOSS","CONCEPT","CONCEPTID"
1,"body","BODY","1480"
2,"head","HEAD","1256"
3,"hair","HAIR","1040"
4,"face","FACE","1560"
5,"eye","EYE","1248"
6,"ear","EAR","1247"
7,"nose","NOSE","1221"
8,"mouth","MOUTH","674"
9,"teeth","TOOTH","1380"
10,"tongue","TONGUE","1205"
11,"breast","BREAST","1402"
12,"belly","BELLY","1251"
13,"arm/ hand","ARM","1673"
14,"elbow","ELBOW","981"
15,"palm","PALM TREE","1181"
16,"finger","FINGER","1303"
17,"fingernail","FINGERNAIL","1258"
18,"leg","LEG","1297"
19,"skin","SKIN","763"
20,"bone","BONE","1394"
21,"heart","HEART","1223"
22,"blood","BLOOD","946"
23,"urine","URINE","1142"
24,"feces","FAECES (EXCREMENT)","675"
25,"village","VILLAGE","930"
26,"house","HOUSE","1252"
27,"roof","ROOF","769"
28,"door","DOOR","1567"
29,"firewood","FIREWOOD","10"
30,"broom","BROOM","245"
31,"mortar","MORTAR CRUSHER","224"
32,"pestle","PESTLE","225"
33,"hammer","HAMMER","1481"
34,"knife","KNIFE","1352"
35,"axe","AXE","677"
36,"rope","ROPE","1218"
37,"thread","THREAD","1161"
38,"needle","NEEDLE (FOR SEWING)","1382"
39,"cloth","CLOTH","1616"
40,"ring","RING","1374"
41,"sun","SUN","1343"
42,"moon","MOON","1313"
43,"sky","SKY","1732"
44,"star","STAR","1430"
45,"rain","RAIN (RAINING)","1253"
46,"water","WATER","948"
47,"river","RIVER","666"
48,"cloud","CLOUD","1489"
49,"lightening","LIGHTNING","1654"
50,"rainbow","RAINBOW","1733"
51,"wind","WIND","960"
52,"stone","STONE","857"
53,"path","PATH","2252"
54,"sand","SAND","671"
55,"fire","FIRE","221"
56,"smoke","SMOKE (INHALE)","1689"
57,"ash","ASH","646"
58,"mud","MUD","640"
59,"dust","DUST","2"
60,"gold","GOLD","1369"
61,"tree","TREE","906"
62,"leaf","LEAF","628"
63,"root","ROOT","670"
64,"thorn","THORN","124"
65,"flower","FLOWER","239"
66,"fruit","FRUIT","1507"
67,"mango","MANGO","2398"
68,"banana","BANANA","868"
69,"wheat(husked)","WHEAT","1077"
70,"barley","BARLEY","932"
71,"rice (husked)","RICE","926"
72,"potato","POTATO","593"
73,"eggplant","AUBERGINE","1146"
74,"groundnut","PEANUT","2364"
75,"chili","CHILI PEPPER","919"
76,"turmeric","TURMERIC","2842"
77,"garlic","GARLIC","2368"
78,"onion","ONION","2366"
79,"cauliflower","CAULIFLOWER","2843"
80,"tomato","TOMATO","986"
81,"cabbage","CABBAGE","774"
82,"oil","OIL (ORGANIC SUBSTANCE)","1484"
83,"salt","SALT","1274"
84,"meat","MEAT","634"
85,"fat (of meat)","FAT (OF MEAT AND FOOD)","2449"
86,"fish","FISH","227"
87,"chicken","CHICKEN","1318"
88,"egg","EGG","744"
89,"cow","COW","1007"
90,"buffalo","BUFFALO","934"
91,"milk","MILK","635"
92,"horns","HORN (ANATOMY)","1393"
93,"tail","TAIL","1220"
94,"goat","GOAT","1502"
95,"dog","DOG","2009"
