ID	X	ID.1	DOCULECT	CONCEPT	IPA	COUNTERPART	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SOURCE	TOKENS	OLDCOG	ALIGNMENT
1	5	1440	Sherpa	ABOVE	jajo	Above:Low-Rise	2	j a j o	6 7 6 7	AXBZ	JAJU	6	6.J.C 6.A.V 6.J.C 6.U.V	2.0 1.5 1.75 0.8	0			NA	j - - a j o - - -
2	2	679	Kagate	ABOVE	t̪ʰola	Above:High	90	t̪ʰ o l a	1 7 5 7	AXBZ	TULA	3	3.T.C 3.U.V 3.L.C 3.A.V	2.0 1.5 1.75 0.8	0			NA	t̪ʰ o l a
3	3	935	Lowa	ABOVE	t̪ʰøʔ	Above:High	90	t̪ʰ ø ʔ	1 7 1	AXN	TUH	4	4.T.C 4.U.V 4.H.c	2.0 1.5 0.8	0			NA	t̪ʰ ø ʔ -
4	7	1947	Yolmo	ABOVE	t̪ʰola	Above:High	90	t̪ʰ o l a	1 7 5 7	AXBZ	TULA	8	8.T.C 8.U.V 8.L.C 8.A.V	2.0 1.5 1.75 0.8	0			NA	t̪ʰ o l a
5	NA	48469	S_Mikir	ABOVE	angsong	NA	100000	a ng s o ng				0			NA	OLD	a ng s o ng	100000	
6	NA	46182	S_Beijing	ABOVE	ʂɑŋ⁵¹tʰou⁰	NA	100020	ʂ ɑ ŋ tʰ o u				0			NA	OLD	ʂ ɑ ŋ tʰ o u	100020	- ʂ - ɑ ŋ - - - ( tʰ o u - - - - - - - - - )
7	NA	46183	S_Guangzhou	ABOVE	sœŋ²²pin²²	NA	100020	s œ ŋ p i n				0			NA	OLD	s œ ŋ p i n	100020	- s - œ ŋ - - - ( - - - - - - - - p i n - )
8	NA	40320	S_Limbu	ABOVE	ɛtthaŋ	NA	100020	ɛ t th a ŋ				0			NA	OLD	ɛ t th a ŋ	100020	ɛ t th a ŋ - - - ( - - - - - - - - - - - - )
9	NA	40756	S_Old_Chinese	ABOVE	daŋʔ←s	NA	100020	d a ŋ ʔ s				0			NA	OLD	d a ŋ ʔ s	100020	- d - a ŋ ʔ - s ( - - - - - - - - - - - - )
10	NA	10019	S_Old_Tibetan	ABOVE	steŋ	NA	100020	s t e ŋ				0			NA	OLD	s t e ŋ	100020	s t - e ŋ - - - ( - - - - - - - - - - - - )
11	NA	46187	S_Xingning	ABOVE	ʂɔŋ⁵⁵pɔɛ⁵³	NA	100020	ʂ ɔ ŋ p ɔ ɛ				0			NA	OLD	ʂ ɔ ŋ p ɔ ɛ	100020	- ʂ - ɔ ŋ - - - ( - - - - p ɔ ɛ - - - - - )
12	NA	45051	S_Atsi	ABOVE	tʰoʔ⁵⁵mai²¹	NA	100049	tʰ o ʔ m a i				0			NA	OLD	tʰ o ʔ m a i	100049	( - - - - - ) tʰ o ʔ - ( - m a i - )
13	NA	45153	S_Bola	ABOVE	a³¹tʰaʔ⁵⁵	NA	100049	a tʰ a ʔ				0			NA	OLD	a tʰ a ʔ	100049	( a - - - - ) tʰ a ʔ - ( - - - - - )
14	NA	10048	S_Japhug	ABOVE	ɯ-taʁ	NA	100049	ɯ t a ʁ				0			NA	OLD	ɯ t a ʁ	100049	( - - - ɯ - ) t a ʁ - ( - - - - - )
15	NA	45266	S_Maru	ABOVE	tʰɔʔ⁵⁵mɛ³¹	NA	100049	tʰ ɔ ʔ m ɛ				0			NA	OLD	tʰ ɔ ʔ m ɛ	100049	( - - - - - ) tʰ ɔ ʔ - ( - m ɛ - - )
16	NA	41055	S_Old_Burmese	ABOVE	ʔa◦thak	NA	100049	ʔ a th a k				0			NA	OLD	ʔ a th a k	100049	( - - ʔ a - ) th a k - ( - - - - - )
17	NA	45125	S_Rangoon	ABOVE	ɑ⁵³tʰɛʔ	NA	100049	ɑ tʰ ɛ ʔ				0			NA	OLD	ɑ tʰ ɛ ʔ	100049	( ɑ - - - - ) tʰ ɛ ʔ - ( - - - - - )
18	NA	41552	S_Wobzi_Khroskyabs	ABOVE	tʰɑ	NA	100049	tʰ ɑ				0			NA	OLD	tʰ ɑ	100049	( - - - - - ) tʰ ɑ - - ( - - - - - )
19	NA	33962	S_Bokar	ABOVE	jan dap	NA	100198	j a n d a p				0			NA	OLD	j a n d a p	100198	j a n - - - - - - - - - ( d a p )
20	NA	42996	S_Bunan	ABOVE	jartok	NA	100198	j a r t o k				0			NA	OLD	j a r t o k	100198	j a r t o k - - - - - - ( - - - )
21	NA	43179	S_Byangsi	ABOVE	yarto	NA	100198	j a r t o				0			NA	OLD	j a r t o	100198	j a r t o - - - - - - - ( - - - )
22	NA	29810	S_Tibetan_Batang	ABOVE	ja¹³tɕøʔ⁵³	NA	100198	j a tɕ ø ʔ				0			NA	OLD	j a tɕ ø ʔ	100198	j a - - - - - - tɕ ø ʔ - ( - - - )
23	NA	28154	S_Tibetan_Lhasa	ABOVE	jɛ̃¹³tɕhɛ⁵²	NA	100198	j ɛ̃ ∼ tɕʰ ɛ				0			NA	OLD	j ɛ̃ ∼ tɕʰ ɛ	100198	j ɛ̃ ∼ - - - - - tɕʰ ɛ - - ( - - - )
24	NA	32401	S_Tibetan_Xiahe	ABOVE	jan tɕhar	NA	100198	j a n tɕh a r				0			NA	OLD	j a n tɕh a r	100198	j a n - - - - - tɕh a r - ( - - - )
25	NA	26971	S_Motuo_Menba	ABOVE	ga ten	NA	100431	g a t e n				0			NA	OLD	g a t e n	100431	g a - t e n
26	NA	43397	S_Rongpo	ABOVE	kalco	NA	100461	k a l tʃ o				0			NA	OLD	k a l tʃ o	100461	k a l tʃ o
27	NA	43631	S_Kulung	ABOVE	tɔ:ptɔ	NA	100612	t ɔ: p t ɔ				0			NA	OLD	t ɔ: p t ɔ	100612	t ɔ: p t ɔ
28	NA	43857	S_Bantawa	ABOVE	cʰoN	NA	100744	tsʰ o ŋ				0			NA	OLD	tsʰ o ŋ	100744	tsʰ o ŋ
29	NA	42641	S_Hakha_Chin	ABOVE	cunglei;	NA	100744	ts ù ŋ				0			NA	OLD	ts ù ŋ	100744	ts ù ŋ
30	0	160	Gyalsumdo	ABOVE	ɲala	Above:High	101035	ɲ a l a	4 7 5 7	AXBZ	NALA	1	1.N.C 1.A.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	0			NA	- - ɲ a l a
31	1	420	Jirel	ABOVE	jine	Above:Low-Rise	101035	j i n e	6 7 4 7	AXBZ	JINE	2	2.J.C 2.I.V 2.N.C 2.E.V	2.0 1.5 1.75 0.8	0			NA	j i n e - -
32	4	1186	Nubri	ABOVE	kaŋ	Above:(Low-)Rise	101035	k a ŋ	1 7 4	AXN	KAN	5	5.K.C 5.A.V 5.N.c	2.0 1.5 0.8	0			NA	k a ŋ - - -
33	6	1683	Tsum	ABOVE	jau	Above:Low-Rise	101035	j au	6 7	AX	JA	7	7.J.C 7.A.V	2.0 1.5	0			NA	j au - - - -
34	2051	28155	S_Tibetan_Lhasa	ABOVE	oŋla	over / above	101035	o ŋ l a	7 4 5 7	XBCZ	UNLA	4	4.U.V 4.N.C 4.L.C 4.A.V	1.5 1.75 1.5 0.8	0	OLD	o ŋ l a	101035	- o ŋ - l a
35	NA	29539	S_Dulong	ABOVE	lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	NA	101265	l ɯ k ɑ p ɑ ŋ				0			NA	OLD	l ɯ k ɑ p ɑ ŋ	101265	l ɯ - - k ɑ - - p ɑ ŋ -
36	NA	29109	S_Daofu	ABOVE	rə nkhvɛ	NA	101310	r ə n kʰ v ɛ				0			NA	OLD	r ə n kʰ v ɛ	101310	r ə - n kʰ v ɛ
