ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	NOTE
1	Gyalsumdo	Body	suɡu	suɡu	s u + g u	body _body	257 256	84	s u - + g u	
269	Jirel	Body	dziu	dziu	dz iu	body	257	85	dz iu	
529	Kagate	Body	dzubu	dzubu	dz u + b u	body _:bu-suffix/bu	257 258	85	dz u + b u	
781	Lowa	Body	suʔ	suʔ	s u.ʔ	body	257	84	s u.ʔ	
1041	Nubri	Body	su	su	s u	body	257	84	s u -	
1292	Sherpa	Body	dzubu	dzubu	dz u + b u	body _:bu-suffix/bu	257 258	85	dz u + b u	
1537	Tsum	Body	zu	zu	z u	body	257	84	z u -	
1800	Yolmo	Body	ndzuɡu	ndzuɡu	ⁿdz u + g u	body _body	257 256	85	ⁿdz u + g u	
4	Gyalsumdo	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o.ŋ	_face/ŋo face/toŋ	837 838	256	ŋ o + t̪ o.ŋ	[x]
272	Jirel	Face	tɕʰet̪	tɕʰet̪	tɕʰ e.t̪	face/tshet	839	258	tɕʰ e.t̪	
532	Kagate	Face	t̪oŋba	t̪oŋba	t̪ o.ŋ + b a	face/toŋ _:ba-suffix/ba	838 840	256	t̪ o.ŋ + b a	[x]
785	Lowa	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o.ŋ	_face/ŋo face/toŋ	837 838	256	ŋ o + t̪ o.ŋ	[x]
1044	Nubri	Face	tɕuŋu	tɕuŋu	tɕ u + ŋ u	face _face/ŋo	841 837	257	tɕ u + ŋ u	[ ] check cognacy
1295	Sherpa	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o.ŋ	_face/ŋo face/toŋ	837 838	256	ŋ o + t̪ o.ŋ	[x]
1540	Tsum	Face	tɕeʔ	tɕeʔ	tɕ e.ʔ	face/tshet	839	258	tɕ e.ʔ	
1803	Yolmo	Face	t̪oŋba	t̪oŋba	t̪ o.ŋ + b a	face/toŋ _:ba-suffix/ba	838 840	256	t̪ o.ŋ + b a	[x]
13	Gyalsumdo	Breast	ɦoma	ɦoma	ɦ o + m a	breast-1 mother	352 1807	117	ɦ o + m a	[x]
