ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	MORPHEMES	NOTE	TOKENS	VALUE
6	- a.m + tɕ o	1239	7 706	EAR	Gyalsumdo	amtɕo	_ear/am ear/dzo	[x]	a.m + tɕ o	amtɕo
7	- a.m + dʑ o	1239	7 706	EAR	Gyalsumdo	amdʑo	_ear/am ear/dzo	[x]	a.m + dʑ o	amdʑo
273	n̪ a.m + dʑ.j o.k	1238	705 706	EAR	Jirel	n̪amdʑjok	_ear/nam ear/dzo	[x]	n̪ a.m + dʑ.j o.k	n̪amdʑjok
532	n a.m + dz.j o	1238	705 706	EAR	Kagate	namdzjo	_ear/nam ear/dzo	[x]	n a.m + dz.j o	namdzjo
785	- a.m + tɕ.j o.ʔ	1239	7 706	EAR	Lowa	amtɕjoʔ	_ear/am ear/dzo	[x]	a.m + tɕ.j o.ʔ	amtɕjoʔ
1043	- a.m + tɕ.j o.ʔ	1239	7 706	EAR	Nubri	amtɕjoʔ	_ear/am ear/dzo	[x]	a.m + tɕ.j o.ʔ	amtɕjoʔ
1291	n a.m + dz.j o.k	1238	705 706	EAR	Sherpa	namdzjok	_ear/nam ear/dzo	[x]	n a.m + dz.j o.k	namdzjok
1536	- a.m + dʑ.j o.ʔ	1239	7 706	EAR	Tsum	amdʑjoʔ	_ear/am ear/dzo	[x]	a.m + dʑ.j o.ʔ	amdʑjoʔ
1797	n ə.m + dʑ.j o	1238	705 706	EAR	Yolmo	nəmdʑjo	_ear/am ear/dzo	[x]	n ə.m + dʑ.j o	nəmdʑjo
2197	r.n æ	1238	None	EAR	Alike	r.n.æ	None		r.n æ	rnæ
2198	a.m ⁵⁵ + tɕ o ⁵²	1239	None	EAR	Lhasa	a.m.⁵⁵.◦.tɕ.o.⁵²	None		a.m ⁵⁵ + tɕ o ⁵²	am⁵⁵tɕo⁵²
2199	- - - n a - ⁵⁵ + j o - ⁵³	1238	None	EAR	Batang	n.a.⁵⁵.◦.j.o.⁵³	None		n a ⁵⁵ + j o ⁵³	na⁵⁵jo⁵³
2200	- - - n a - + - ⁿdʑ o./o χ -	1238	None	EAR	Xiahe	n.a._.ndʑ.o.χ	None	!	n a + ⁿdʑ o./o χ	na ndʑoχ
13	ɦ o + m a	1211	352 1807	BREAST	Gyalsumdo	ɦoma	breast-1 mother	[x]	ɦ o + m a	ɦoma
278	n u + m a	1210	352 1807	BREAST	Jirel	n̪uma	breast-1 mother	[i] Exception confirmed via internal comparison.	n u + m a	n̪uma
537	- o + m a	1211	352 1807	BREAST	Kagate	oma	breast-1 mother	[x]	o + m a	oma
538	p.r a.ŋ + g o.k	119	357 358	BREAST	Kagate	praŋɡok	breast/praŋ breast-2/go	[x]	p.r a.ŋ + g o.k	praŋɡok
790	- o + m a	1211	352 1807	BREAST	Lowa	oma	breast-1 mother	[x]	o + m a	oma
1048	tɕ.j u	122	355	BREAST	Nubri	tɕju	breast	[x]	tɕ.j u	tɕju
1296	- o + m a	1211	352 1807	BREAST	Sherpa	oma	breast-1 mother	[x]	o + m a	oma
1541	p a.ʔ	123	356	BREAST	Tsum	paʔ	breast	[x]	p a.ʔ	paʔ
1802	p.r a.ŋ + g o	119	357 358	BREAST	Yolmo	praŋɡo	breast/praŋ breast-2/go	[x]	p.r a.ŋ + g o	praŋɡo
1803	w o + m a	1211	352 1807	BREAST	Yolmo	woma	breast-1 mother	[x]	w o + m a	woma
2118	o ¹³ + m a ⁵⁵	1211	None	BREAST	Lhasa	o.¹³.◦.m.a.⁵⁵	None		o ¹³ + m a ⁵⁵	o¹³ma⁵⁵
2119	ȵ ɑ - - ⁵⁵ + ȵ ɑ.ʔ ⁵³	1210	None	BREAST	Batang	ȵ.ɑ.⁵⁵.◦.ȵ.ɑ.ʔ.⁵³	None		ȵ ɑ ⁵⁵ + ȵ ɑ.ʔ ⁵³	ȵɑ⁵⁵ȵɑʔ⁵³
2120	n ə - - + - m a - -	1210	None	BREAST	Xiahe	n.ə._.m.a	None		n ə + m a	nə ma
2121	n ə - - + - m æ - -	1210	None	BREAST	Alike	n.ə._.m.æ	None		n ə + m æ	nə mæ
14	t o + b a	1193	183 10	BELLY	Gyalsumdo	toba	belly/to _:pa-suffix/pa	[x]	t o + b a	toba
279	s u + b a	1193	185 10	BELLY	Jirel	suba	belly/su _:pa-suffix/pa	[x]	s u + b a	suba
539	t o + p a	1193	183 10	BELLY	Kagate	topa	belly/to _:pa-suffix/pa	[x]	t o + p a	topa
791	pʰ o + w a	1192	184 187	BELLY	Lowa	pʰowa	belly/pho _:wa-suffix	[x]	pʰ o + w a	pʰowa
1049	t o + p a	1193	183 10	BELLY	Nubri	topa	belly/to _:pa-suffix/pa	[x]	t o + p a	topa
1297	tʰ o + p a	1193	183 10	BELLY	Sherpa	tʰopa	belly/to _:pa-suffix/pa	[x]	tʰ o + p a	tʰopa
1542	pʰ o + w a	1192	184 187	BELLY	Tsum	pʰowa	belly/pho _:wa-suffix/wa	[x]	pʰ o + w a	pʰowa
1804	pʰ o - - -	1192	184	BELLY	Yolmo	pʰo	belly/pho	[x]	pʰ o	pʰo
2078	h o - -	1192	None	BELLY	Alike	h.o	None		h o	ho
2079	ʈʂʰ o ¹³ + k o ⁵²	1193	None	BELLY	Lhasa	tʂh.o.¹³.◦.k.o.⁵²	None		ʈʂʰ o ¹³ + k o ⁵²	tʂho¹³ko⁵²
2080	ʈʂ u ¹³ + p a ⁵³	1193	None	BELLY	Batang	tʂ.ᴜ.¹³.◦.p.a.⁵³	None		ʈʂ u ¹³ + p a ⁵³	tʂᴜ¹³pa⁵³
2081	h o - -	1192	None	BELLY	Xiahe	h.o	None		h o	ho
30	kʰ a.ŋ - + p a	402	1383 10	HOUSE	Gyalsumdo	kʰaŋpa	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + p a	kʰaŋpa
293	kʰ - a.!m/ŋ + b a	1301	1383 10	HOUSE	Jirel	kʰamba	house _:pa-suffix/pa	[ ] check ba status	kʰ a.!m/ŋ + b a	kʰamba
553	kʰ i.m	1300	31	HOUSE	Kagate	kʰim	house/khim	[x]	kʰ i.m	kʰim
807	kʰ a.ŋ - + p a	1301	1383 10	HOUSE	Lowa	kʰaŋpa	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + p a	kʰaŋpa
1063	kʰ i.m	1300	31	HOUSE	Nubri	kʰim	house/khim	[x]	kʰ i.m	kʰim
1312	kʰ a.ŋ - + b a	1301	1383 10	HOUSE	Sherpa	kʰaŋba	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + b a	kʰaŋba
1556	k o.ɹ + ts a	405	1384 1385	HOUSE	Tsum	koɹtsa	house/kor house/tsa	[x]	k o.ɹ + ts a	koɹtsa
1557	kʰ i.m	1300	31	HOUSE	Tsum	kʰim	house/khim	[x]	kʰ i.m	kʰim
1818	kʰ a.ŋ - + b a	1301	1383 10	HOUSE	Yolmo	kʰaŋba	house _:pa-suffix/pa	[ ] check ba status	kʰ a.ŋ + b a	kʰaŋba
2370	- kʰ õ - ⁵⁵ + ⁿb a ⁵³	1301	None	HOUSE	Batang	kʰ.õ.∼.⁵⁵.◦.m.b.a.⁵³	None	!	kʰ õ ⁵⁵ + ⁿb a ⁵³	khõ⁵⁵mba⁵³
2371	kʰ a.ŋ + - - w a -	1301	None	HOUSE	Xiahe	kʰ.a.ŋ._.w.a	None		kʰ a.ŋ + w a	khaŋ wa
2372	kʰ a.ŋ ⁵⁵ + - p a ⁵⁵	1301	None	HOUSE	Lhasa	kʰ.a.ŋ.⁵⁵._.p.a.⁵⁵	None		kʰ a.ŋ ⁵⁵ + p a ⁵⁵	khaŋ⁵⁵ pa⁵⁵
2373	ⁿkʰ o.ŋ + - - ŋ æ -	1301	None	HOUSE	Alike	n.kʰ.o.ŋ._.ŋ.æ	None	!	ⁿkʰ o.ŋ + ŋ æ	nkhoŋ ŋæ
34	ɕ i.ŋ	1254	991	FIREWOOD	Gyalsumdo	ɕiŋ	tree/siŋ	[x]	ɕ i.ŋ	ɕiŋ
296	ɕ i.ŋ	1254	991	FIREWOOD	Jirel	ɕiŋ	tree/siŋ	[x]	ɕ i.ŋ	ɕiŋ
556	s i.ŋ	1254	991	FIREWOOD	Kagate	siŋ	tree/siŋ	[x]	s i.ŋ	siŋ
810	ɕ i.ŋ	1254	991	FIREWOOD	Lowa	ɕiŋ	tree/siŋ	[x]	ɕ i.ŋ	ɕiŋ
1066	ɕ i.ŋ	1254	991	FIREWOOD	Nubri	ɕiŋ	tree/siŋ	[x]	ɕ i.ŋ	ɕiŋ
1315	ɕ i.ŋ	1254	991	FIREWOOD	Sherpa	ɕiŋ	tree/siŋ	[x]	ɕ i.ŋ	ɕiŋ
1560	ɕ i.ŋ	1254	991	FIREWOOD	Tsum	ɕiŋ	tree/siŋ	[x]	ɕ i.ŋ	ɕiŋ
1820	ɕ i.ŋ	1254	991	FIREWOOD	Yolmo	ɕiŋ	tree/siŋ	[x]	ɕ i.ŋ	ɕiŋ
2247	tɕʰ æ + m æ	1253	None	FIREWOOD	Alike	tɕh.æ._.m.æ	None		tɕʰ æ + m æ	tɕhæ mæ
2248	m i ¹³ + ɕ i.ŋ ⁵⁵	1254	None	FIREWOOD	Lhasa	m.i.¹³.◦.ɕ.i.ŋ.⁵⁵	None		m i ¹³ + ɕ i.ŋ ⁵⁵	mi¹³ɕiŋ⁵⁵
2249	- - - - xʰ ĩ - ⁵⁵	1254	None	FIREWOOD	Batang	xh.ĩ.∼.⁵⁵	None	?	xʰ ĩ ⁵⁵	xhĩ⁵⁵
2250	tɕʰ a + m a	1253	None	FIREWOOD	Xiahe	tɕh.a._.m.a	None		tɕʰ a + m a	tɕha ma
40	k a.ɾ + t̪ a	422	1458 49	KNIFE	Gyalsumdo	kaɾt̪a	knife/kar _:suffix/ta	[x]	k a.ɾ + t̪ a	kaɾt̪a
301	tɕʰ u + ɹ a	1313	51 1461	KNIFE	Jirel	tɕʰuɹa	knife/thriu _/ra	[x]	tɕʰ u + ɹ a	tɕʰuɹa
302	ts ə + k u	1313	1463 1460	KNIFE	Jirel	tsəku	knife/tse _/ku	[x]	ts ə + k u	tsəku
561	k a.r + t̪ a	422	1458 49	KNIFE	Kagate	kart̪a	knife/kar _:suffix/ta	[x]	k a.r + t̪ a	kart̪a
815	tʰ i - - -	1313	1459	KNIFE	Lowa	tʰi	knife/thi	[x]	tʰ i	tʰi
1071	t u + k u	29	50 1460	KNIFE	Nubri	tuku	knife/tu _/ku	[x]	t u + k u	tuku
1320	tʰ i + tɕ.j u.ŋ	1313	1459 1462	KNIFE	Sherpa	tʰitɕjuŋ	knife/thi /tsjung	[x]	tʰ i + tɕ.j u.ŋ	tʰitɕjuŋ
1565	tʰ.ɹ iu - - -	1313	51	KNIFE	Tsum	tʰɹiu	knife/thriu	[x]	tʰ.ɹ iu	tʰɹiu
1826	k a.ɹ + t̪ a	422	1458 49	KNIFE	Yolmo	kaɹt̪a	knife/kar _:suffix/ta	[x]	k a.ɹ + t̪ a	kaɹt̪a
2402	cç - ə -	1313	None	KNIFE	Alike	cç.ə	None	!	cç ə	cçə
2403	tɕ - ə -	1313	None	KNIFE	Xiahe	tɕ.ə	None		tɕ ə	tɕə
2404	ʈʂʰ - i ¹³	1313	None	KNIFE	Lhasa	tʂh.i.¹³	None		ʈʂʰ i ¹³	tʂhi¹³
2405	ʈʂ - ɪ ²³¹	1313	None	KNIFE	Batang	tʂ.ɪ.²³¹	None		ʈʂ ɪ ²³¹	tʂɪ²³¹
2406	tɕ - ə -	1313	None	KNIFE	Alike	tɕ.ə	None		tɕ ə	tɕə
42	t̪ʰ a.!g/k - + p a	1374	2316 10	ROPE	Gyalsumdo	t̪ʰaɡpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.!g/k + p a	t̪ʰaɡpa
304	t̪ʰ - a.k + p a	1374	2316 10	ROPE	Jirel	t̪ʰakpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.k + p a	t̪ʰakpa
563	t̪ʰ - a.k + p a	1374	2316 10	ROPE	Kagate	t̪ʰakpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.k + p a	t̪ʰakpa
817	t̪ʰ - a.g + p a	1374	2316 10	ROPE	Lowa	t̪ʰaɡpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.g + p a	t̪ʰaɡpa
1073	t̪ʰ - a.g + p a	1374	2316 10	ROPE	Nubri	t̪ʰaɡpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.g + p a	t̪ʰaɡpa
1322	t̪ʰ - a.k + p a	1374	2316 10	ROPE	Sherpa	t̪ʰakpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.k + p a	t̪ʰakpa
1567	t̪ʰ - a.k + p a	1374	2316 10	ROPE	Tsum	t̪ʰakpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.k + p a	t̪ʰakpa
1828	t̪ʰ - a.k + p a	1374	2316 10	ROPE	Yolmo	t̪ʰakpa	rope _:ba-suffix/pa	[x]	t̪ʰ a.k + p a	t̪ʰakpa
2568	tʰ a.k ⁵⁵ + - p a ⁵⁵	1374	None	ROPE	Lhasa	th.a.k.⁵⁵._.p.a.⁵⁵	None		tʰ a.k ⁵⁵ + p a ⁵⁵	thak⁵⁵ pa⁵⁵
2569	tʰ ɑ - ⁵⁵ + - p a ⁵³	1374	None	ROPE	Batang	th.ɑ.⁵⁵.◦.p.a.⁵³	None		tʰ ɑ ⁵⁵ + p a ⁵³	thɑ⁵⁵pa⁵³
