ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	Yolmo	BITE	1403	á táp			to bite	1403	BITE	1
2	Yolmo			águu			father's younger  brother		???	
3	Yolmo			águu tʃómbo			 father's elder brother		???	
4	Yolmo			áŋ			also		???	
5	Yolmo			áŋ			also		???	
6	Yolmo			átʃha			exclamation		???	
7	Yolmo			ádzi			elder sister		???	
8	Yolmo	OLDER BROTHER	1759	áda			older brother	1759	OLDER BROTHER	2
9	Yolmo			áni			father's younger sister		???	
10	Yolmo	AND	1577	áni			and	1577	AND	2
11	Yolmo			áni tʃómbo			father's elder sister		???	
12	Yolmo	FATHER	1217	ába			father	1217	FATHER	2
13	Yolmo	MOTHER	1216	áma			mother	1216	MOTHER	2
14	Yolmo			àmbak			guava		???	
15	Yolmo			árak			a strong alcohol		???	
16	Yolmo			áru			a large clay jug		???	
17	Yolmo			ál			a lake	624	LAKE	3
20	Yolmo	ASPARAGUS	2605	íbi rère			asparagus	2605	ASPARAGUS	2
21	Yolmo			ìnar			large well		???	
22	Yolmo	COVER	761	úp			to cover	761	COVER	1
23	Yolmo	OWL	735	úpa			owl	735	OWL	2
24	Yolmo	FLY (MOVE THROUGH AIR)	1441	ùr			to fly	1441	FLY (MOVE THROUGH AIR)	1
25	Yolmo			úu phér			to  breathe	1407	BREATHE	3
26	Yolmo			[érmaŋ			Szechuan  pepper, a plant, leaves used in  cooking and medicine	653	PLANT (VEGETATION)	3
27	Yolmo			ée			call used to attract a  person's attention		???	
28	Yolmo	COME	1446	òŋ			to come	1446	COME	1
29	Yolmo			òŋge			copula verb,  general fact copula used when  the clause is general and accepted knowledge		???	
30	Yolmo			òzeraŋ			enough ; that much	1881	ENOUGH	4
31	Yolmo			òm			to convince or woo somebody		???	
33	Yolmo			[òrta			a fence	1690	FENCE	3
34	Yolmo	THAT	78	òodi			that	78	THAT	2
35	Yolmo			òodigi pèdi			therefore		???	
36	Yolmo			òolegi			and then		???	
37	Yolmo	LEG	1297	káŋba			leg	1297	LEG	2
38	Yolmo	THIGH	800	y úh [káŋba láʃa			thigh	800	THIGH	2
40	Yolmo			kátha			a dagger		???	
41	Yolmo			o			invocation		???	
43	Yolmo			óokel			a mortar and  pestle used for pounding rice  into flour		???	
44	Yolmo	OPEN	1156	kà			open	1156	OPEN	2
45	Yolmo	LIKE	1117	kà			like	1117	LIKE	2
46	Yolmo	OPEN	1156	kà pè			to open	1156	OPEN	1
47	Yolmo	SHAWL	2771	káito			shawl	2771	SHAWL	4
48	Yolmo	LEMON	3091	kágati			lemon	3091	LEMON	2
49	Yolmo	HILL	614	kàŋ			hill	614	HILL	2
50	Yolmo			kàŋ			to fill up	2006	FILL	4
51	Yolmo	HOW	1239	kàn pèdi			how, pertaining to action	1239	HOW	4
53	Yolmo	HOW	1239	kànɖa			how, in which  way	1239	HOW	4
54	Yolmo	WHICH	727	kàndi			which	727	WHICH	2
55	Yolmo	HOW	1239	kànmu			how, describing physical property	1239	HOW	4
57	Yolmo	DRY	1398	kám			to dry	1398	DRY	1
59	Yolmo			kàmbu			a bottle	1321	BOTTLE	3
60	Yolmo	STEEP	2717	káma			steep	2717	STEEP	2
61	Yolmo			káma			uphill		???	
62	Yolmo			káyu			small ceramic cup		???	
63	Yolmo			kár			to trick	1902	BETRAY	3
64	Yolmo			kár			to weigh something		???	
65	Yolmo	BELT	772	kára			belt, or cloth wrapped around the waist	772	BELT	4
66	Yolmo			káray			a pot for cooking made of iron		???	
67	Yolmo	BARLEY	932	káru			barley	932	BARLEY	2
68	Yolmo	KNIFE	1352	kárta			knife	1352	KNIFE	2
69	Yolmo	SPICY	544	kárpa			spicy	544	SPICY	2
70	Yolmo			kárma			minute		???	
71	Yolmo	STAR	1430	kárma			star	1430	STAR	2
73	Yolmo			kàlda			a jug for water; a bag		???	
74	Yolmo	WHERE	1237	kàla			where	1237	WHERE	2
75	Yolmo			kálam			a pen, for writing	794	PEN	3
77	Yolmo	OR	1014	kí			or	1014	OR	2
78	Yolmo	BOOK	963	kítab			book	963	BOOK	2
79	Yolmo			kípa			caste		???	
80	Yolmo	FLEA	232	kíʃi			flea	232	FLEA	2
81	Yolmo	TIE	1917	kíi			to bind	1917	TIE	1
82	Yolmo			kú			to rub in		???	
83	Yolmo	NINE	1483	kù			nine	1483	NINE	2
84	Yolmo	ELBOW	981	kúŋ dzùŋ			elbow	981	ELBOW	2
85	Yolmo			kúŋga			holder for butter candles		???	
86	Yolmo	NIGHT	1233	kùŋmu			night	1233	NIGHT	2
87	Yolmo			kùba			ninth		???	
88	Yolmo	THIEF	1160	kúmen			thief	1160	THIEF	2
89	Yolmo			kùr pè			to bend over		???	
90	Yolmo	CHAIR	1476	kúrtʃi			chair	1476	CHAIR	2
91	Yolmo	SUGAR CANE	146	kùrʃiŋ			sugarcane	146	SUGAR CANE	2
92	Yolmo			kùl			a spirit that lives in the family home		???	
95	Yolmo	WAIT (FOR)	1590	kúu			to wait	1590	WAIT (FOR)	1
96	Yolmo	VISIT	1377	ké			to visit	1377	VISIT	1
97	Yolmo	HIP	1745	képha			hip	1745	HIP	2
98	Yolmo	TONGS	272	kémba			tongs	272	TONGS	2
99	Yolmo	SPLIT	1437	kèe			split	1437	SPLIT	2
