ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	Lowa	MIDDLE	1093	ak‍ka			 middle, intermediate	आक्का	1093	MIDDLE	4
2	Lowa			atsʲʰa			 expression of disgust	आका		???	
3	Lowa			atsʲʰu			, expression for feeling cold	आककु		???	
4	Lowa			akʰakʰa			 expression for feeling of guilt	आखाखा		???	
8	Lowa			aŋge			s name	आङगे		???	
9	Lowa			aŋdza ᴴtʰop‍kin			 get power or authority	आङजा्थोप्कीि	1637	AUTHORITY	4
10	Lowa			aŋdzi			s name	आङजी		???	
11	Lowa			aŋdu dygin			 take under control	आङद्कु दीगीि		???	
13	Lowa	WEAK	1601	aŋbu ᴴkʲowa			 weak, feeble, sickly	आङबकु्क्योिा	1601	WEAK	4
14	Lowa	WEAK	1601	aŋbu ʟmegin			 weak, feeble, sickly	आङबकु्मगे ीि	1601	WEAK	4
15	Lowa			aŋbu ᴴmetsʰaŋgin			 disabled	￼￼￼￼आङबकु्ॱमछे ाङगीि		???	
16	Lowa			aŋmu			s name	आङमकु		???	
17	Lowa			aŋsa			 division of inheritance	आङसा		???	
18	Lowa	SICKLE	341	aŋsi			sickle	आङसी	341	SICKLE	2
19	Lowa			atsar			 pickle, relish, chutney	आचार		???	
20	Lowa			atsi			 feeling of sorrow	आची		???	
21	Lowa			atsitsi			 feeling of pain	आचीची		???	
22	Lowa			atso			 feeling of burning	आचो		???	
23	Lowa			ada			 female friend	आदा		???	
24	Lowa	GINGER	2500	aduwa			 ginger	आदिकु ा	2500	GINGER	4
26	Lowa	TOWEL	1021	aptsʲy			 towel	आपच्यी	1021	TOWEL	4
29	Lowa			ama ada ʟrowa			s group or cooperative	आमा्आदा्रोिा		???	
30	Lowa			ama ᴴŋane			 from birth	आमा्ॱङािे		???	
31	Lowa			amuna			 feeling of fear	आमकुिा		???	
32	Lowa			amo			 word used to express fear or surprise	आमो		???	
33	Lowa			am‍duba			 scabies in ear	आम्दबकु ा		???	
34	Lowa	DISGUST	2465	am‍lok			 disgust	आम्लोक	2465	DISGUST	4
35	Lowa	DISGUST	2465	am‍lowali			 disgust	आम्लोिाली	2465	DISGUST	4
36	Lowa			aʲi			 type of apple	आयी		???	
37	Lowa			aʲo			 feeling of pain	आयो		???	
38	Lowa			aruŋtsʲi ʟmana			 nearly, about, approximately	आरूङच्यी्मािा	1415	THINK (REFLECT)	4
39	Lowa			aro			 expression of pain	आरो		???	
40	Lowa			ali			 type of game played with the feet	आली		???	
41	Lowa			ali ᴴkukuk			 curly	आली्ककुककुक		???	
42	Lowa			awa			 wireless	आिा		???	
43	Lowa			awa ᴴtaŋdza			 telecommunication	आिा्ताङजा		???	
45	Lowa			idzi			 elder sister	ईजी		???	
47	Lowa			in‍dzi ᴴkek			nglish language	ईन्जी्के क		???	
48	Lowa	GRANDMOTHER	1496	ibi			 grandmother	ईबी	1496	GRANDMOTHER	4
50	Lowa			iʲa			 word used in reply to	￼￼￼￼￼￼ईया		???	
51	Lowa			uŋ			 honorific term	उङ		???	
52	Lowa			udza			 threshing spot	उजा		???	
53	Lowa			udzu ᴴsa			 stubborn	उजकु्सा		???	
54	Lowa	POOR	1674	uʈe			 poor	￼￼￼￼￼￼￼￼उटे	1674	POOR	4
