ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos
1	Tsum	GRANDFATHER	1383	a			grandfather	n.
2	Tsum			a			what?' (when asking for a repeat after not hearing properly)	interj.
3	Tsum	MOTHER	1216	ã			mother	n.
4	Tsum	FAECES (EXCREMENT)	675	a'			faeces	n.
5	Tsum	SHIT (DEFECATE)	676	a' tangba			defecate	v.
6	Tsum	FATHER	1217	ãawa			father	n.
7	Tsum			al			expression in which one says 'please forgive me' when some of his friends/relatives are in trouble	NA
8	Tsum	EARRING	770	along			earring	n.
9	Tsum			alya			rupees	n.
10	Tsum	BUD	1684	ambu'			bud	n.
11	Tsum	PHYSICIAN	597	amdźi			doctor	n.
12	Tsum			amlwã			without salt	adj.
13	Tsum			Anga			Anga village, in the Budhi Gandaki above Philim	n.
14	Tsum			angdum			clothing, traditional for girls, with sleeves	n.
15	Tsum	NUMBER	1356	anggi			number	n.
16	Tsum			angśi'			waste part of maize corn when the maize grains are removed	n.
17	Tsum	MANGO	2398	ãp.			mango	n.
18	Tsum			api' tśik			some, few	adj.
19	Tsum	SMALL	1246	apitśi'			little	adj.
20	Tsum			apitśik			little, a; not many	adj.
21	Tsum			apśa'			kukri	n.
22	Tsum			apto			knucklebones; a game played with five small pebbles	n.
23	Tsum	LIQUOR	842	ara			liquor	n.
24	Tsum	LAZY	1564	arko'			lazy	adj.
25	Tsum	VERY	1311	arkwo'			very	adv.
26	Tsum			artsang			pot for making liquor	n.
27	Tsum	OLDER SISTER	1758	atśe			sister (elder)	n.
28	Tsum			atsi			oh	interj.
29	Tsum			atsi			Oh!	interj.
30	Tsum			au			upwards	adv.
31	Tsum			au, agu			uncle, father's elder brother	n.
32	Tsum	PARENTS	505	awama, awaã			parents	n.
33	Tsum			aźang			uncle, mother's brother	n.
34	Tsum	MASK	2005	bã			mask	n.
35	Tsum	PEANUT	2364	badam			peanut	n.
36	Tsum			bako			impure	adj.
37	Tsum			bakpe			flour (of wheat)	n.
38	Tsum			balu			tree, species, used for incense	n.
39	Tsum	CABBAGE	774	banda			cabbage	n.
40	Tsum	AUBERGINE	1146	banḍa			eggplant	n.
41	Tsum	LINE	1048	bang			line	n.
42	Tsum	WET	1726	bangwa			wet	v.
43	Tsum			bara			sheds made in meadow for yaks	n.
44	Tsum	MIDDLE	1093	barla			middle	n.
45	Tsum	RICH	712	baro			rich	adj.
46	Tsum			barto			area between heaven and hell	n.
47	Tsum			barwa			burn (trans.)	v.
48	Tsum	BAMBOO	1927	bãso			bamboo	n.
49	Tsum			baũ			dew, frost	n.
50	Tsum			be yul			hidden valley; sBas Yul	n.
51	Tsum	DO	813	beba			do	v.
52	Tsum			bem bewa			semi-liquid material after whey is filtered	n.
53	Tsum	BASKET	1539	benggön			basket	n.
54	Tsum	TURMERIC	2842	besar			turmeric	n.
55	Tsum			bo			wall of the side of the house	n.
56	Tsum			bol			plane; a carpenter's tool	n.
57	Tsum	SACK	2990	bora			sack	n.
58	Tsum	BOTTLE	1321	botal			bottle	n.
59	Tsum	CLIFF	992	bra'			cliff	n.
60	Tsum			brabe, brawe			flour made from buckwheat	n.
61	Tsum			brãdźa'			play like wrestling	n.
62	Tsum			brangwa			erect (penis)	v.
63	Tsum			bre			rice (grain)	n.
64	Tsum	FEMALE YAK	2479	bri			female yak	n.
65	Tsum	INSECT	620	bu			insect	n.
66	Tsum			büba			blow (fire, musical instrument)	v.
67	Tsum			bum			hundred thousand	num.
68	Tsum			bumpa			mani wall, small, in a high place not frequently travelled	n.
69	Tsum			Burdźi			village, in upper Tsum	n.
70	Tsum	WORM	1219	burinbu			worm	n.
71	Tsum			buru			boil; sore; pimple	n.
72	Tsum			Tśhana doje			deity, Chana Dorje (Phyag Na rDo rJe); lightning wielder; ruler of the lower five Kama-deva-lokas; Vajrapani	n.
73	Tsum	PESTLE	225	tśhiu			pestle	n.
74	Tsum	COME	1446	tśolwa			come	v.
75	Tsum	ARRIVE	1387	tśol			arrive	v.
76	Tsum	MONTH	1370	da			month	n.
77	Tsum	LIKE	1117	ḍa			like	adv.
78	Tsum	SHARPEN (SOMETHING)	251	da darwa			sharpen	v.
79	Tsum			da tangan			person who informs the people in the village	n.
80	Tsum	ENEMY	1358	ḍa'			enemy	n.
81	Tsum			ḍake'			thunderbolt	n.
82	Tsum	LICK	319	dakpa			lick	v.
83	Tsum	MUD	640	dakpa			mud	n.
84	Tsum	DIRT	25	ḍakpa			dirt	n.
85	Tsum			ḍakpa			dirt, soil	n.
86	Tsum	READ	724	ḍakpa			read	v.
87	Tsum	OWNER	1036	dakpo			owner	n.
88	Tsum	NEAR	1942	ḍala			near	adv.
89	Tsum	NOW	1376	dalo			now	adv.
90	Tsum			dalo			this year, recently	n.
91	Tsum	DAMAGE	1116	dalwa			damage	n.
92	Tsum	FALL	1280	dalwa			fall down	v.
93	Tsum			dalwa			pull down itself	v.
94	Tsum			ḍam			foundation	n.
95	Tsum	FORGET	1523	ḍama dźepa			forget	v.
96	Tsum			damba			filter	v.
97	Tsum	TIE	1917	damba			tie	v.
98	Tsum	CHEEK	1730	ḍamba			cheek	n.
99	Tsum			dambya'			sediment of clay, oil or water	n.
100	Tsum	MUD	640	damnyo'			mud	n.
101	Tsum	FORGET	1523	ḍampa tsepa			forget	v.
102	Tsum			damsa			molars (teeth at the back of the mouth)	n.
103	Tsum	JAW	798	damso			jaw	n.
