ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS
1	Yolmo	BITE	1403	á táp			to bite
2	Yolmo			águu			father's younger  brother
3	Yolmo			águu tʃómbo			 father's elder brother
4	Yolmo			áŋ			also
5	Yolmo			áŋ			also
6	Yolmo			átʃha			exclamation
7	Yolmo			ádzi			elder sister
8	Yolmo	OLDER BROTHER	1759	áda			older brother
9	Yolmo			áni			father's younger sister
10	Yolmo	AND	1577	áni			and
11	Yolmo			áni tʃómbo			father's elder sister
12	Yolmo	FATHER	1217	ába			father
13	Yolmo	MOTHER	1216	áma			mother
14	Yolmo			àmbak			guava
15	Yolmo			árak			a strong alcohol
16	Yolmo			áru			a large clay jug
17	Yolmo			ál			a lake
18	Yolmo			áʃaŋ			uncle; mother's younger brother
19	Yolmo			áʃaŋ tʃómbo			uncle; mother's elder brother
20	Yolmo	ASPARAGUS	2605	íbi rère			asparagus
21	Yolmo			ìnar			large well
22	Yolmo	COVER	761	úp			to cover
23	Yolmo	OWL	735	úpa			owl
24	Yolmo	FLY (MOVE THROUGH AIR)	1441	ùr			to fly
25	Yolmo			úu phér			to  breathe
26	Yolmo			[érmaŋ			Szechuan  pepper, a plant, leaves used in  cooking and medicine
27	Yolmo			ée			call used to attract a  person's attention
28	Yolmo	COME	1446	òŋ			to come
29	Yolmo			òŋge			copula verb,  general fact copula used when  the clause is general and accepted knowledge
30	Yolmo			òzeraŋ			enough ; that much
31	Yolmo			òm			to convince or woo somebody
32	Yolmo			òma			milk; breast
33	Yolmo			[òrta			a fence
34	Yolmo	THAT	78	òodi			that
35	Yolmo			òodigi pèdi			therefore
36	Yolmo			òolegi			and then
37	Yolmo	LEG	1297	káŋba			leg
38	Yolmo	THIGH	800	y úh [káŋba láʃa			thigh
39	Yolmo			káti			a nail
40	Yolmo			kátha			a dagger
41	Yolmo			o			invocation
42	Yolmo	THERE	1937	òo			there, indicating a distance
43	Yolmo			óokel			a mortar and  pestle used for pounding rice  into flour
44	Yolmo	OPEN	1156	kà			open
45	Yolmo	LIKE	1117	kà			like
46	Yolmo	OPEN	1156	kà pè			to open
47	Yolmo	SHAWL	2771	káito			shawl
48	Yolmo	LEMON	3091	kágati			lemon
49	Yolmo	HILL	614	kàŋ			hill
50	Yolmo			kàŋ			to fill up
51	Yolmo	HOW	1239	kàn pèdi			how, pertaining to action
52	Yolmo			kántʃi			younger or youngest
53	Yolmo	HOW	1239	kànɖa			how, in which  way
54	Yolmo	WHICH	727	kàndi			which
55	Yolmo	HOW	1239	kànmu			how, describing physical property
56	Yolmo	OLD	1229	kàpu			old, animate
57	Yolmo	DRY	1398	kám			to dry
58	Yolmo	DRY	1398	kámbu			dry
59	Yolmo			kàmbu			a bottle
60	Yolmo	STEEP	2717	káma			steep
61	Yolmo			káma			uphill
62	Yolmo			káyu			small ceramic cup
63	Yolmo			kár			to trick
64	Yolmo			kár			to weigh something
65	Yolmo	BELT	772	kára			belt, or cloth wrapped around the waist
66	Yolmo			káray			a pot for cooking made of iron
67	Yolmo	BARLEY	932	káru			barley
68	Yolmo	KNIFE	1352	kárta			knife
69	Yolmo	SPICY	544	kárpa			spicy
70	Yolmo			kárma			minute
71	Yolmo	STAR	1430	kárma			star
72	Yolmo	GO	695	kàl			to go, perfective aspect
73	Yolmo			kàlda			a jug for water; a bag
74	Yolmo	WHERE	1237	kàla			where
75	Yolmo			kálam			a pen, for writing
76	Yolmo			káa			to stop
77	Yolmo	OR	1014	kí			or
78	Yolmo	BOOK	963	kítab			book
79	Yolmo			kípa			caste
80	Yolmo	FLEA	232	kíʃi			flea
81	Yolmo	TIE	1917	kíi			to bind
82	Yolmo			kú			to rub in
83	Yolmo	NINE	1483	kù			nine
84	Yolmo	ELBOW	981	kúŋ dzùŋ			elbow
85	Yolmo			kúŋga			holder for butter candles
86	Yolmo	NIGHT	1233	kùŋmu			night
87	Yolmo			kùba			ninth
88	Yolmo	THIEF	1160	kúmen			thief
89	Yolmo			kùr pè			to bend over
90	Yolmo	CHAIR	1476	kúrtʃi			chair
91	Yolmo	SUGAR CANE	146	kùrʃiŋ			sugarcane
92	Yolmo			kùl			a spirit that lives in the family home
93	Yolmo			kùlba			slow; late
94	Yolmo	HAT	771	kúʃa			hat, honorific
95	Yolmo	WAIT (FOR)	1590	kúu			to wait
96	Yolmo	VISIT	1377	ké			to visit
97	Yolmo	HIP	1745	képha			hip
98	Yolmo	TONGS	272	kémba			tongs
99	Yolmo	SPLIT	1437	kèe			split
100	Yolmo	CALL	1084	kée kyàp			to call
101	Yolmo	LAUGH	1355	kéemu kyàp			to laugh
102	Yolmo	DIG	1418	kó			to dig
103	Yolmo			kò			to need
104	Yolmo	DOOR	1567	kò			door
105	Yolmo	GARLIC	2368	kòkpa			garlic
106	Yolmo			kòga			kitchen; a fireplace
