ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script
1	Lowa	MIDDLE	1093	ak‍ka			 middle, intermediate	आक्का
2	Lowa			atsjha			 expression of disgust	आका
3	Lowa			atsjhu			, expression for feeling cold	आककु
4	Lowa			akhakha			 expression for feeling of guilt	आखाखा
5	Lowa	POWER	2526	aŋ			 power, right, authority	आङ
6	Lowa	FIRST	728	aŋ ʟtaŋbu			 first, best	आङ्धाङबकु
7	Lowa			aŋtsjhe			 having great authority or power	आङके
8	Lowa			aŋge			s name	आङगे
9	Lowa			aŋdza Hthop‍kin			 get power or authority	आङजा्थोप्कीि
10	Lowa			aŋdzi			s name	आङजी
11	Lowa			aŋdu dygin			 take under control	आङद्कु दीगीि
12	Lowa	POWER	2526	aŋbu			 energy, power, strength	आङबकु
13	Lowa	WEAK	1601	aŋbu Hkjowa			 weak, feeble, sickly	आङबकु्क्योिा
14	Lowa	WEAK	1601	aŋbu ʟmegin			 weak, feeble, sickly	आङबकु्मगे ीि
15	Lowa			aŋbu Hmetshaŋgin			 disabled	￼￼￼￼आङबकु्ॱमछे ाङगीि
16	Lowa			aŋmu			s name	आङमकु
17	Lowa			aŋsa			 division of inheritance	आङसा
18	Lowa	SICKLE	341	aŋsi			sickle	आङसी
19	Lowa			atsar			 pickle, relish, chutney	आचार
20	Lowa			atsi			 feeling of sorrow	आची
21	Lowa			atsitsi			 feeling of pain	आचीची
22	Lowa			atso			 feeling of burning	आचो
23	Lowa			ada			 female friend	आदा
24	Lowa	GINGER	2500	aduwa			 ginger	आदिकु ा
25	Lowa	BARK	1204	ap‍kin			 bark	आप्कीि
26	Lowa	TOWEL	1021	aptsjy			 towel	आपच्यी
27	Lowa	SMALL	1246	abu			 small, tiny	आबकु
28	Lowa	MOTHER	1216	ama			 mother	आमा
29	Lowa			ama ada ʟrowa			s group or cooperative	आमा्आदा्रोिा
30	Lowa			ama Hŋane			 from birth	आमा्ॱङािे
31	Lowa			amuna			 feeling of fear	आमकुिा
32	Lowa			amo			 word used to express fear or surprise	आमो
33	Lowa			am‍duba			 scabies in ear	आम्दबकु ा
34	Lowa	DISGUST	2465	am‍lok			 disgust	आम्लोक
35	Lowa	DISGUST	2465	am‍lowali			 disgust	आम्लोिाली
36	Lowa			aji			 type of apple	आयी
37	Lowa			ajo			 feeling of pain	आयो
38	Lowa			aruŋtsji ʟmana			 nearly, about, approximately	आरूङच्यी्मािा
39	Lowa			aro			 expression of pain	आरो
40	Lowa			ali			 type of game played with the feet	आली
41	Lowa			ali Hkukuk			 curly	आली्ककुककुक
42	Lowa			awa			 wireless	आिा
43	Lowa			awa Htaŋdza			 telecommunication	आिा्ताङजा
44	Lowa	NUMBER	1356	iŋgi			 number, figure	ईङगी
45	Lowa			idzi			 elder sister	ईजी
46	Lowa	WELL	954	inar			 well, cistern	ईिार
47	Lowa			in‍dzi Hkek			nglish language	ईन्जी्के क
48	Lowa	GRANDMOTHER	1496	ibi			 grandmother	ईबी
49	Lowa	PHYSICIAN	597	im‍dzi			 doctor	ईम्जी
50	Lowa			ija			 word used in reply to	￼￼￼￼￼￼ईया
51	Lowa			uŋ			 honorific term	उङ
52	Lowa			udza			 threshing spot	उजा
53	Lowa			udzu Hsa			 stubborn	उजकु्सा
54	Lowa	POOR	1674	uʈe			 poor	￼￼￼￼￼￼￼￼उटे
55	Lowa	SLAUGHTER	1796	up Hʈok‍kin			 slaughter	उप्टोक्कीि
56	Lowa			upa			 upright	उपा
57	Lowa	SHRINK	54	um‍gin			 shrink	उम्गीि
58	Lowa			uluk			 hole in the ground	उलकुक
59	Lowa			e e			 sound made by baby	ए्ए
60	Lowa			eHheHheHheŋ			 neigh, sound made by horse	ए्ॱह्ेॱह्ेॱहङे
61	Lowa			eŋja eŋja			s cry	एङया्एङया
62	Lowa			em‍ma em‍ma			 long time ago	एम्मा्एम्मा
63	Lowa			emm‍ aki Htsjidaŋ			 traditional norms and values	एम्माकी्च्यीदाङ
