ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	script1	script2	pos	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
2	Gyalsumdo			ətsar			pickle (< Nep )	अचार्	[अचार]	n		???	
3	Gyalsumdo			əni			and then (< Nep )	अनि	अनि	d.m		???	
4	Gyalsumdo			ənikal			famine, time of scarcity (< Nep )	अनिकाल्	अनिकाल्	n	199	FAMINE	4
5	Gyalsumdo			ʂəpke			to be slim	श्रप्के	पातलिँदै जानु	v	1400	THIN (SLIM)	4
6	Gyalsumdo			əpradi			incest	अप्रादि	हाड नातामा यौन सम्पर्क गर्ने काम	n		???	
7	Gyalsumdo	FLAT	1633	ʂəbu			flat	श्रबु	च्याप्टो	adj	1633	FLAT	2
8	Gyalsumdo	THIN (SLIM)	1400	ʂəbu			slim	श्रबु	पातलो	adj	1400	THIN (SLIM)	2
9	Gyalsumdo	BURN	2102	ʂake			to burn	श्राके	पोल्नु, डढाउनु	v	2102	BURN	1
10	Gyalsumdo	BITE	1403	akjap			to bite	आक्याप्‍के	टोक्नु (कुकुरले)	v	1403	BITE	1
11	Gyalsumdo			aŋ			one's right or authority	आङ्	हक, अधिकार	n	1637	AUTHORITY	4
12	Gyalsumdo			aŋtʃe aŋme dzheke			to compel	आङ्च्ये आङ्‍मे झेके	जबरजस्ती गर्नु	v		???	
13	Gyalsumdo			aŋter			permission	आङ्तेर	अनुमति दिनु	n		???	
14	Gyalsumdo			aŋthopke			heir, one entitled to an inheritance	आङ्थोप्के	हकदार	n		???	
15	Gyalsumdo			aŋduŋ			traditional dress, fastened at the waist, worn by a woman of Tibetan origin or ancestry	आङ्दुङ्	बख्खु (महिलाले लगाउने बस्त्र)	n		???	
16	Gyalsumdo			aŋpa			infant or newly born child	आङ्पा	जन्मने बित्तिकै को बच्चा	n	1289	BABY	4
17	Gyalsumdo	BRANCH	1531	aŋba			branch	आङ्बा	रूखको टुसो, आँकुरो	n	1531	BRANCH	2
19	Gyalsumdo			adʒi			elder sister	आज्यि	दिदी	n. kin		???	
20	Gyalsumdo	OLDER BROTHER	1759	adʒo			elder brother	आजो	दाजु	n. kin	1759	OLDER BROTHER	2
21	Gyalsumdo			aṭa bhəṭṭa			kind of traditional game	आटा भट्टा	डन्डि बियो (काठका लठ्ठीहरू लिएर खेलिने खेल)	n		???	
22	Gyalsumdo			aṭoto			rice of corn (maize), a dish made when from cooked and finely grounded maize grains (< Nep )	आटोतो	आटो, मकैको भात	n		???	
25	Gyalsumdo			ãp			mango (< Nep )	आँप्	आँप	n	2398	MANGO	4
26	Gyalsumdo			ʂap			rein, bridle	श्राप्	[लगाम]	n		???	
27	Gyalsumdo	FATHER	1217	apa			father	आपा	बुबा	n. kin	1217	FATHER	2
28	Gyalsumdo	HATE	1607	am lokkev.			to hate	आम् लोक्के	घीन लाग्‍नु	v	1607	HATE	1
29	Gyalsumdo	MOTHER	1216	ama			mother	आमा	आमा	n. kin	1216	MOTHER	2
30	Gyalsumdo	MOTHER	1216	ama			mother	आमा	माउ	n. kin	1216	MOTHER	2
31	Gyalsumdo			amdʒi			traditional doctor	आम्ज्यि	डाक्टर	n		???	
32	Gyalsumdo	EAR	1247	amdʒo			ear	आम्ज्यो	कान	n	1247	EAR	2
