# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COUNTERPART	SOURCE	TOKENS	COGID	OLDCOG	SEGMENTS
#
10019	Old_Tibetan	ABOVE	steŋ		OLD	s t e ŋ	20	20	s t e ŋ
10048	Japhug	ABOVE	ɯtaʁ		OLD	ɯ t a ʁ	49	49	ɯ t a ʁ
42996	Bunan	ABOVE	jartok	on, above	OLD	j a r t o k	198	198	j a r t o k
43179	Byangsi	ABOVE	jarto	above	OLD	j a r t o	198	198	j a r t o
43397	Rongpo	ABOVE	kalo	above, over	OLD	k a l o	461	461	k a l o
43631	Kulung	ABOVE	tptɔ	above, up (adv.)	OLD	t p t ɔ	612	612	t p t ɔ
43857	Bantawa	ABOVE	oŋ	not physical right on top of things, but ‘at a higher elevation’	OLD	o ŋ	744	744	o ŋ
45051	Atsi	ABOVE	oʔmai	over / above	OLD	o ʔ m a i	49	49	o ʔ m ai
45125	Rangoon	ABOVE	ɑɛʔ	over / above	OLD	ɑ ɛ ʔ	49	49	ɑɛ ʔ
45153	Bola	ABOVE	aaʔ	over / above	OLD	a a ʔ	49	49	aa ʔ
45214	Achang_Longchuan	ABOVE	alum	over / above	OLD	a l u m	3049	3049	a l u m
45266	Maru	ABOVE	ɔʔmɛ	over / above	OLD	ɔ ʔ m ɛ	49	49	ɔ ʔ m ɛ
45712	Bahing	ABOVE	hati	above, up (adv)	OLD	h a t i	2769	2769	h a t i
46182	Beijing	ABOVE	ʂɑŋou	*top, top side	OLD	ʂ ɑ ŋ o u	20	20	ʂ ɑ ŋ ou
46183	Guangzhou	ABOVE	sœŋpin	*top, top side	OLD	s œ ŋ p i n	20	20	s œ ŋ p i n
46184	Chaozhou	ABOVE	teŋpõĩ		OLD	t e ŋ p õ ĩ	1618	1618	t e ŋ p õĩ
46185	Longgang	ABOVE	taŋkau		OLD	t a ŋ k a u	1618	1618	t a ŋ k au
46186	Jieyang	ABOVE	teŋpãĩ		OLD	t e ŋ p ã ĩ	1618	1618	t e ŋ p ãĩ
46187	Xingning	ABOVE	ʂɔŋpɔɛ		OLD	ʂ ɔ ŋ p ɔ ɛ	20	20	ʂ ɔ ŋ p ɔɛ
46188	Xingning	ABOVE	hɔŋ		OLD	h ɔ ŋ	1619	1619	h ɔ ŋ
47554	Ukhrul	ABOVE	kəkan	over ?	OLD	k ə k a n	3313	3313	k ə k a n
47760	Hayu	ABOVE	ani	up, above (adv loc)	OLD	a n i	2156	2156	a n i
47761	Hayu	ABOVE	ani	above (pp)	OLD	a n i	2156	2156	a n i
48141	Tangut	ABOVE	j		OLD	j	10178	10178	j
48469	Mikir	ABOVE	aso		OLD	a s o	0	0	a s o
